Area Name;Area ID;Park Name;Park ID;Squirrel ID;Primary Fur Color;Highlights in Fur Color;Color Notes;Location;Above Ground (Height in Feet);Specific Location;Activities;Interactions with Humans;Other Notes or Observations;Squirrel Latitude (DD.DDDDDD);Squirrel Longitude (-DD.DDDDDD)
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-01;Gray;White;;Ground Plane;;;Foraging;Indifferent;;4.085.941;-73.933.936
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-02;Gray;White;;Ground Plane;;;Foraging;Indifferent;Looks skinny;40.859.436;-73.933.937
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-03;Gray;White;;Ground Plane;;;Eating, Digging something;Indifferent;;40.859.416;-73.933.894
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-04;Gray;White;;Ground Plane;;;Running;Indifferent;;40.859.418;-73.933.895
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-05;Gray;Cinnamon;;Ground Plane;;;Running, Eating;Indifferent;She left food;40.859.493;-7.393.359
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-06;Gray;Cinnamon;;Ground Plane;;;Climbing;Indifferent;;40.860.825;-73.932.871
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-07;Gray;White;;Ground Plane;;;Foraging;Indifferent;;40.860.225;-73.933.143
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-08;Black;Gray;;Above Ground;10;;Climbing;Runs From;;40.859.965;-73.933.412
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-09;Gray;White;;Ground Plane;;;Foraging;Indifferent;;40.859.892;-73.933.326
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-10;Gray;White;;Ground Plane;;;Eating, Digging;Indifferent;;40.859.636;-73.933.717
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-11;Gray;Black;;Ground Plane;;;Eating, Digging;Indifferent;was intimidated by a dog;40.859.576;-73.933.738
UPPER MANHATTAN;A;Fort Tryon Park;1;A-01-12;Gray;White;;Ground Plane;;;Running;Runs From;;40.859.989;-73.934.544
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-01;Gray;Gray;;Ground Plane;;;Running;Indifferent;;40.845.749;-739.407
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-02;Gray;Cinnamon;;Above Ground;2;;Foraging;Indifferent;;40.845.875;-73.940.808
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-03;Gray;Cinnamon;;Ground Plane;;;Foraging;;;40.845.875;-73.940.808
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-04;Gray;Cinnamon;;Ground Plane;;;Running;Indifferent;;40.846.088;-73.940.613
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-05;Gray;Cinnamon;;Ground Plane;;;Running;Runs From;;40.846.088;-73.940.613
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-06;Gray;Cinnamon;;Ground Plane;;;Foraging;Indifferent;;40.846.088;-73.940.613
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-07;Gray;Gray;;Ground Plane;;;;Runs From;;40.846.222;-7.394.094
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-08;Gray;Cinnamon;;Ground Plane;;;Foraging, Nesting/gathering leaves;Indifferent;;40.846.222;-7.394.094
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-09;Gray;Cinnamon;;Ground Plane;;;Chasing;Indifferent;;40.846.197;-73.941.026
UPPER MANHATTAN;A;J. Hood Wright Park;2;A-02-10;Gray;Cinnamon;;Ground Plane;;;Running;Indifferent;;40.846.185;-73.940.613
